,n_cluster_lab_1,n_cluster_lab_2,acc,aucroc
0,1,1,0.8725,0.9061624649859945
0,1,2,0.895,0.9204481792717087
0,1,3,0.9075,0.9283846872082165
0,1,4,0.9125,0.927264239028945
0,1,5,0.9125,0.927264239028945
0,1,6,0.935,0.9157796451914099
0,1,7,0.9225,0.9293183940242763
0,1,8,0.94,0.9404295051353875
0,1,9,0.9575,0.9257703081232492
0,1,10,0.96,0.9359477124183007
0,2,1,0.5825,0.7306255835667601
0,2,2,0.63,0.7607843137254902
0,2,3,0.6575,0.7782446311858077
0,2,4,0.7,0.8052287581699347
0,2,5,0.7225,0.8195144724556489
0,2,6,0.8775,0.896451914098973
0,2,7,0.7975,0.8671335200746966
0,2,8,0.8475,0.8945845004668534
0,2,9,0.94,0.9232492997198879
0,2,10,0.925,0.930905695611578
0,3,1,0.3275,0.573015873015873
0,3,2,0.3775,0.6047619047619048
0,3,3,0.405,0.6222222222222222
0,3,4,0.4925,0.6777777777777778
0,3,5,0.475,0.6623716153127919
0,3,6,0.76,0.834733893557423
0,3,7,0.5875,0.7338001867413633
0,3,8,0.665,0.7787114845938375
0,3,9,0.9,0.9150326797385621
0,3,10,0.8325,0.8764705882352942
